"Key","Event-Id","Investigation_Type","Event_Date","Country","Airport_Code","Injury_Severity","Aircraft_Damage","airport_id","airport","city","state","lat","long"
3597,"20160830X24345","Accident","2016-08-30","United States","RNO","Fatal(2)","Destroyed","RNO","Reno/Tahoe International","Reno","NV","39.49857611","-119.76806470000001"
3605,"20160912X23324","Accident","2016-08-30","United States","FSD","Non-Fatal","Substantial","FSD","Joe Foss ","Sioux Falls","SD","43.58135111","-96.74170028"
3638,"20160829X93333","Accident","2016-08-24","United States","SPS","Non-Fatal","Substantial","SPS","Sheppard AFB/Wichita Falls Municipal","Wichita Falls","TX","33.98879611","-98.49189333"
3639,"20160824X81825","Accident","2016-08-24","United States","TEX","Fatal(2)","Substantial","TEX","Telluride Regional","Telluride","CO","37.95375861","-107.90848000000001"
3654,"20160823X22819","Accident","2016-08-19","United States","LMT","Non-Fatal","Substantial","LMT","Klamath Falls International","Klamath Falls","OR","42.15614361","-121.7332081"
3683,"20160815X12510","Accident","2016-08-13","United States","DSM","Non-Fatal","Destroyed","DSM","Des Moines International","Des Moines","IA","41.53493306","-93.66068222"
3787,"20160729X30645","Accident","2016-07-28","United States","ECP","Non-Fatal","Substantial","ECP","Florida Beach","Beaches","FL","30.448674","-84.550781"
3843,"20160718X61154","Accident","2016-07-18","United States","HLN","Non-Fatal","Substantial","HLN","Helena Regional","Helena","MT","46.60681806","-111.9827503"
3900,"20160707X02944","Incident","2016-07-07","United States","JFK","Incident","Minor","JFK","John F Kennedy Intl","New York","NY","40.63975111","-73.77892556"
3939,"20160708X44826","Accident","2016-07-01","United States","MHK","Non-Fatal","Substantial","MHK","Manhattan Regional","Manhattan","KS","39.14096722","-96.67083278"
3991,"20160630X02802","Accident","2016-06-24","United States","SGF","Non-Fatal","Substantial","SGF","Springfield-Branson Regional","Springfield","MO","37.24432611","-93.38685806"
4016,"20160620X22219","Accident","2016-06-19","United States","HOU","Non-Fatal","Substantial","HOU","William P Hobby","Houston","TX","29.64541861","-95.27888889"
4027,"20160623X83406","Accident","2016-06-17","United States","MFE","Non-Fatal","Substantial","MFE","McAllen Miller International","McAllen","TX","26.17583333","-98.23861111"
